frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,E_Ball,-7.07725425,0.0,3.43776413,0.0,0.0,0.0
2,0.04166667,E_Ball,-7.07546662,0.0,3.43718329,0.0,-0.00715051,0.0
3,0.08333333,E_Ball,-7.07010374,0.0,3.43544079,0.0,-0.02860205,0.0
4,0.125,E_Ball,-7.0611656,0.0,3.43253661,0.0,-0.06435461,0.0
5,0.16666667,E_Ball,-7.0486522,0.0,3.42847076,0.0,-0.1144082,0.0
6,0.20833333,E_Ball,-7.03256355,0.0,3.42324324,0.0,-0.17876281,0.0
7,0.25,E_Ball,-7.01289964,0.0,3.41685405,0.0,-0.25741845,0.0
8,0.29166667,E_Ball,-6.98966047,0.0,3.40930319,0.0,-0.35037512,0.0
9,0.33333333,E_Ball,-6.96284605,0.0,3.40059065,0.0,-0.45763281,0.0
10,0.375,E_Ball,-6.93245637,0.0,3.39071645,0.0,-0.57919151,0.0
11,0.41666667,E_Ball,-6.89849143,0.0,3.37968057,0.0,-0.71505123,0.0
12,0.45833333,E_Ball,-6.86095124,0.0,3.36748302,0.0,-0.86521202,0.0
13,0.5,E_Ball,-6.8198358,0.0,3.3541238,0.0,-1.02967381,0.0
14,0.54166667,E_Ball,-6.77514509,0.0,3.33960291,0.0,-1.20843661,0.0
15,0.58333333,E_Ball,-6.72687913,0.0,3.32392035,0.0,-1.40150046,0.0
16,0.625,E_Ball,-6.67503792,0.0,3.30707612,0.0,-1.60886538,0.0
17,0.66666667,E_Ball,-6.61962145,0.0,3.28907022,0.0,-1.83053124,0.0
18,0.70833333,E_Ball,-6.56062972,0.0,3.26990264,0.0,-2.06649804,0.0
19,0.75,E_Ball,-6.49806273,0.0,3.2495734,0.0,-2.31676602,0.0
20,0.79166667,E_Ball,-6.43192049,0.0,3.22808248,0.0,-2.58133507,0.0
21,0.83333333,E_Ball,-6.36220299,0.0,3.20542989,0.0,-2.86020494,0.0
22,0.875,E_Ball,-6.28891024,0.0,3.18161563,0.0,-3.1533761,0.0
23,0.91666667,E_Ball,-6.21204223,0.0,3.1566397,0.0,-3.46084809,0.0
24,0.95833333,E_Ball,-6.13159896,0.0,3.1305021,0.0,-3.78262115,0.0
25,1.0,E_Ball,-6.04758044,0.0,3.10320283,0.0,-4.11869526,0.0
26,1.04166667,E_Ball,-5.95998666,0.0,3.07474188,0.0,-4.46907043,0.0
27,1.08333333,E_Ball,-5.86881763,0.0,3.04511927,0.0,-4.83374643,0.0
28,1.125,E_Ball,-5.77407334,0.0,3.01433498,0.0,-5.21272373,0.0
29,1.16666667,E_Ball,-5.67575379,0.0,2.98238903,0.0,-5.60600185,0.0
30,1.20833333,E_Ball,-5.57385898,0.0,2.9492814,0.0,-6.01358128,0.0
31,1.25,E_Ball,-5.46838892,0.0,2.9150121,0.0,-6.43546152,0.0
32,1.29166667,E_Ball,-5.35934361,0.0,2.87958113,0.0,-6.87164259,0.0
33,1.33333333,E_Ball,-5.24672303,0.0,2.84298848,0.0,-7.32212496,0.0
34,1.375,E_Ball,-5.13052721,0.0,2.80523417,0.0,-7.78690815,0.0
35,1.41666667,E_Ball,-5.01075612,0.0,2.76631818,0.0,-8.26599216,0.0
36,1.45833333,E_Ball,-4.88740978,0.0,2.72624053,0.0,-8.75937748,0.0
37,1.5,E_Ball,-4.76048818,0.0,2.6850012,0.0,-9.26706409,0.0
38,1.54166667,E_Ball,-4.62999133,0.0,2.6426002,0.0,-9.78905201,0.0
39,1.58333333,E_Ball,-4.49591922,0.0,2.59903753,0.0,-10.32534027,0.0
40,1.625,E_Ball,-4.35827185,0.0,2.55431319,0.0,-10.87592983,0.0
41,1.66666667,E_Ball,-4.21704923,0.0,2.50842718,0.0,-11.44081974,0.0
42,1.70833333,E_Ball,-4.07225135,0.0,2.4613795,0.0,-12.0200119,0.0
43,1.75,E_Ball,-3.92387821,0.0,2.41317014,0.0,-12.61350441,0.0
44,1.79166667,E_Ball,-3.77192982,0.0,2.36379912,0.0,-13.22129726,0.0
45,1.83333333,E_Ball,-3.61640617,0.0,2.31326642,0.0,-13.84339237,0.0
46,1.875,E_Ball,-3.45730727,0.0,2.26157206,0.0,-14.47978783,0.0
47,1.91666667,E_Ball,-3.29463311,0.0,2.20871602,0.0,-15.13048458,0.0
