frame,time_s,object,x,y,z,rot_x,rot_y,rot_z
1,0.0,F_Ball_1,-6.6,0.0,0.41,0.0,0.0,0.0
1,0.0,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
2,0.04166667,F_Ball_1,-6.425,0.0,0.41,0.0,0.0,0.0
2,0.04166667,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
3,0.08333333,F_Ball_1,-6.25,0.0,0.41,0.0,0.0,0.0
3,0.08333333,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
4,0.125,F_Ball_1,-6.075,0.0,0.41,0.0,0.0,0.0
4,0.125,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
5,0.16666667,F_Ball_1,-5.9,0.0,0.41,0.0,0.0,0.0
5,0.16666667,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
6,0.20833333,F_Ball_1,-5.725,0.0,0.41,0.0,0.0,0.0
6,0.20833333,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
7,0.25,F_Ball_1,-5.55,0.0,0.41,0.0,0.0,0.0
7,0.25,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
8,0.29166667,F_Ball_1,-5.375,0.0,0.41,0.0,0.0,0.0
8,0.29166667,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
9,0.33333333,F_Ball_1,-5.2,0.0,0.41,0.0,0.0,0.0
9,0.33333333,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
10,0.375,F_Ball_1,-5.025,0.0,0.41,0.0,0.0,0.0
10,0.375,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
11,0.41666667,F_Ball_1,-4.85,0.0,0.41,0.0,0.0,0.0
11,0.41666667,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
12,0.45833333,F_Ball_1,-4.675,0.0,0.41,0.0,0.0,0.0
12,0.45833333,F_Ball_2,-0.8,0.0,0.41,0.0,0.0,0.0
